Company,Employee_ID,Department_ID,Branch_ID,Age,Gender_Code,Experience_Years,Education_Level,Job_Level,Salary_INR,Bonus_INR,Overtime_Hours,Training_Hours,Projects_Assigned,Projects_Completed,Performance_Score,Attendance_Percent,Leaves_Taken,Late_Logins,Promotion_Count,Client_Rating,Sales_Target,Sales_Achieved,Customer_Tickets,Resolved_Tickets,Work_Hours_Month,Manager_ID,Team_Size,Travel_Days,Remote_Work_Days,Office_Floor,Desk_Number,Laptop_Age_Months,Certification_Count,Monthly_KPI
Capgemini,100000,8,161,27,1,4,4,3,715438,53882,52,67,14,3,3,75.35,27,16,5,2.1,4160448,5177279,470,235,149,1546,5,20,11,2,4785,5,10,58.29
NVIDIA,100001,15,179,52,0,32,2,1,3240863,368850,34,109,14,18,5,82.43,0,30,5,1.9,2525047,2922636,276,127,127,1461,30,16,16,20,8552,25,15,87.86
Intel,100002,26,120,39,1,19,5,9,2143109,149596,1,228,21,14,3,98.73,2,33,1,3.37,550003,2226229,15,271,226,1577,19,11,5,3,9103,30,4,66.69
Tesla,100003,13,160,52,0,32,2,10,3295101,281272,27,184,24,9,4,77.02,15,23,5,1.07,1262963,2229892,355,188,165,1396,24,6,10,9,8323,18,15,94.76
Meta,100004,18,176,49,0,19,4,1,1969712,158615,56,95,6,15,4,87.76,28,24,1,1.24,419453,2543024,400,348,207,1301,7,2,0,17,4259,55,0,67.73
Oracle,100005,12,178,43,1,20,2,5,2148059,155544,10,19,8,25,3,87.25,16,22,0,4.59,3956194,4802124,46,242,205,1287,11,15,9,5,8467,28,12,69.97
HCLTech,100006,21,153,49,1,25,5,9,2689787,83290,31,103,7,12,1,96.27,9,27,4,1.43,3614939,3714524,344,44,214,1160,25,2,8,8,6269,34,13,59.8
Intel,100007,19,120,33,1,7,2,1,1004567,127249,17,32,19,0,4,85.15,8,29,3,4.56,226854,2961994,18,233,240,1576,29,4,0,19,5241,36,6,54.01
Oracle,100008,18,147,23,1,1,4,2,479897,20258,21,76,24,0,2,82.64,9,3,2,4.59,4896074,1399657,166,183,192,1178,22,2,5,5,9089,35,13,74.65
Salesforce,100009,12,121,59,0,32,5,6,3329429,95044,43,29,13,12,1,89.46,22,2,3,1.27,2347980,426104,314,287,218,1213,17,3,16,19,8256,50,3,69.1
Amazon,100010,19,162,52,1,27,5,4,2658538,161607,60,224,18,7,3,88.96,12,4,2,3.89,2374258,5337234,384,129,138,1123,23,9,6,15,6618,13,9,77.38
Wipro,100011,23,131,65,0,35,4,6,3554358,312800,22,78,10,19,4,86.09,8,19,2,1.96,668039,4622257,108,184,216,1543,9,4,0,16,2818,68,15,63.02
